country,year,crime_index,weighted_infractions
Norvège,2014,0.19835662473487667,1019004.0
Norvège,2015,0.1589253146364718,824601.0
Norvège,2016,0.15573274258819197,815186.0
Norvège,2017,0.1444996444928224,762520.0
Norvège,2018,0.14231230313129953,755951.0
Norvège,2019,0.13613241543964205,728022.0
Norvège,2020,0.1257223056153249,676320.0
Norvège,2021,0.11250702621146677,608474.0
Norvège,2022,0.12231527688470509,667490.0
Pays-Bas,2008,0.35075597456412794,5768390.0
Pays-Bas,2009,0.34900808135900985,5769239.0
Pays-Bas,2010,0.19080673019249497,3170329.0
Pays-Bas,2011,0.1941870023460029,3241578.0
Pays-Bas,2012,0.19222842761445832,3220780.0
Pays-Bas,2013,0.18960146942187633,3186145.0
Pays-Bas,2014,0.1687543225594675,2846043.0
Pays-Bas,2015,0.15580354172802321,2639300.0
Pays-Bas,2016,0.14865040069137891,2531563.0
Pays-Bas,2017,0.12325804189011737,2111570.0
Pays-Bas,2018,0.11126403408059507,1917260.0
Pays-Bas,2019,0.10981428864804668,1904715.0
Pays-Bas,2020,0.09521371441676461,1660670.0
Pays-Bas,2021,0.08159935034669394,1430685.0
Pays-Bas,2022,0.09397642458480553,1663475.0
Pologne,2008,0.05729884616854448,2184562.0
Pologne,2009,0.06196381840102499,2364019.0
Pologne,2010,0.06287243255582121,2391843.0
Pologne,2011,0.06525001605879475,2483628.0
Pologne,2012,0.06442472832789203,2452209.0
Pologne,2013,0.06113336009099427,2325525.0
Pologne,2014,0.050869553836466554,1933640.0
Pologne,2015,0.04413791436790608,1676641.0
Pologne,2016,0.04770818671023851,1811484.0
Pologne,2017,0.04854594988795999,1843524.0
Pologne,2018,0.04701466105767648,1785370.0
Pologne,2019,0.053902762970830735,2046444.0
Pologne,2020,0.04976451928767645,1886029.0
Pologne,2021,0.05257862824198209,1984692.0
Pologne,2022,0.05058149193293344,1862499.0
Portugal,2008,0.12059979672627197,1273314.0
Portugal,2009,0.11341086180139431,1198554.0
Portugal,2010,0.10310911653157541,1090183.0
Portugal,2011,0.10544462925145583,1113238.0
Portugal,2012,0.09889409676453592,1039856.0
Portugal,2013,0.09064629046039152,947915.0
Portugal,2014,0.08530052027379512,887216.0
Portugal,2015,0.08371699531843559,867147.0
Portugal,2016,0.08069186704853211,833180.0
Portugal,2017,0.07764822383814064,799800.0
Portugal,2018,0.0765283568696541,787004.0
Portugal,2019,0.07455467549293655,766889.0
Portugal,2020,0.06414206123075074,660476.0
Portugal,2021,0.06162405080723667,638538.0
Portugal,2022,0.06922886568148336,720652.0
Roumanie,2008,0.02099277554274724,431147.0
Roumanie,2009,0.023144779716810424,471401.0
Roumanie,2010,0.025859106821987457,523566.0
Roumanie,2011,0.026316280587871624,530208.0
Roumanie,2012,0.0308355230210736,618500.0
Roumanie,2013,0.03140155325644765,627519.0
Roumanie,2014,0.0601224703687718,1196977.0
Roumanie,2015,0.039430618760476585,781342.0
Roumanie,2016,0.03559346749285247,701272.0
Roumanie,2017,0.03967570103500919,777196.0
Roumanie,2018,0.04270361924147978,831609.0
Roumanie,2019,0.03686273878195598,714092.0
Roumanie,2020,0.03422338147701172,659322.0
Roumanie,2021,0.035831915381078994,685180.0
Roumanie,2022,0.03521797044354838,670797.0
Serbie,2008,0.03911051938295197,287471.0
Serbie,2009,0.03770663534771508,276043.0
Serbie,2010,0.03656193375351577,266589.0
Serbie,2011,0.03948826246364613,285662.0
Serbie,2012,0.03938893833195561,283564.0
Serbie,2013,0.057327670679434714,410703.0
Serbie,2014,0.05072226984187533,361679.0
Serbie,2015,0.045188963020037116,320633.0
Serbie,2016,0.04639813825438964,327493.0
Serbie,2017,0.04316025192362529,303022.0
Serbie,2018,0.04706080997862688,328607.0
Serbie,2019,0.04431743490321062,307795.0
Serbie,2020,0.03827426836384783,264059.0
Serbie,2021,0.039634486268287465,270875.0
Serbie,2022,0.04036777834146529,269029.0
Slovaquie,2008,0.051466445123310334,276850.0
Slovaquie,2009,0.049821532205333204,268359.0
Slovaquie,2010,0.05726497692262607,308740.0
Slovaquie,2011,0.050773527781647246,274095.0
Slovaquie,2012,0.04755917574204649,257180.0
Slovaquie,2013,0.048417692933064346,262104.0
Slovaquie,2014,0.04252536010359778,230430.0
Slovaquie,2015,0.03442346059525414,186706.0
Slovaquie,2016,0.03283716315723766,178332.0
Slovaquie,2017,0.031163774591707064,169507.0
Slovaquie,2018,0.027139382213792355,147822.0
Slovaquie,2019,0.023702698148766434,129278.0
Slovaquie,2020,0.022244522495400567,121429.0
Slovaquie,2021,0.020040214809425753,109164.0
Slovaquie,2022,0.021148793243874166,114875.0
Slovénie,2008,0.1111310651080781,224631.0
Slovénie,2009,0.11365324471764782,231815.0
Slovénie,2010,0.10873613614874282,222755.0
Slovénie,2011,0.11078002555480375,227414.0
Slovénie,2012,0.11900052450977294,244803.0
Slovénie,2013,0.12699949950314401,261613.0
Slovénie,2014,0.11179012405551945,230509.0
Slovénie,2015,0.08786977273421141,181322.0
Slovénie,2016,0.09373174976586432,193560.0
Slovénie,2017,0.08565477538584235,176996.0
Slovénie,2018,0.07779905819680273,161347.0
Slovénie,2019,0.0922195859479933,192590.0
Slovénie,2020,0.08837106209561463,185793.0
Slovénie,2021,0.06338282388847856,133616.0
Slovénie,2022,0.07278930826246008,153730.0
Suisse,2008,0.14913709068442368,1140552.0
Suisse,2009,0.23809520119950964,1843769.0
Suisse,2010,0.22918081219858275,1793319.0
Suisse,2011,0.24807131794937515,1962839.0
Suisse,2012,0.26354165715772726,2107506.0
Suisse,2013,0.25381260734798583,2053178.0
Suisse,2014,0.22206959902665263,1818450.0
Suisse,2015,0.20355426135142535,1685917.0
Suisse,2016,0.19355124563226755,1620670.0
Suisse,2017,0.18430720411176738,1557735.0
Suisse,2018,0.170819920160473,1454417.0
Suisse,2019,0.16899051692772715,1449141.0
Suisse,2020,0.15724771239083477,1358332.0
Suisse,2021,0.15056971380242,1310641.0
Suisse,2022,0.16297107031185903,1430195.0
Suède,2008,0.3759126308335133,3465778.0
