Country,Year,Indice de criminalité,Latitude,Longitude
Liechtenstein,2015-01-01T00:00:00,20.592688899244138,47.1518476121,9.55426912972
Liechtenstein,2014-01-01T00:00:00,25.23239405763853,47.1518476121,9.55426912972
Liechtenstein,2013-01-01T00:00:00,21.76813370151668,47.1518476121,9.55426912972
Liechtenstein,2012-01-01T00:00:00,16.229886637570434,47.1518476121,9.55426912972
Liechtenstein,2011-01-01T00:00:00,16.337109369007873,47.1518476121,9.55426912972
Liechtenstein,2010-01-01T00:00:00,12.31473165998673,47.1518476121,9.55426912972
Liechtenstein,2009-01-01T00:00:00,25.292646103044845,47.1518476121,9.55426912972
Liechtenstein,2008-01-01T00:00:00,18.442774836289182,47.1518476121,9.55426912972
Lituanie,2022-01-01T00:00:00,6.2899480326305905,55.3356704206,23.8981221633
Lituanie,2021-01-01T00:00:00,5.601588747996293,55.3356704206,23.8981221633
Lituanie,2020-01-01T00:00:00,6.746963995025408,55.3356704206,23.8981221633
Lituanie,2019-01-01T00:00:00,7.843645933581279,55.3356704206,23.8981221633
Lituanie,2018-01-01T00:00:00,9.059533289292185,55.3356704206,23.8981221633
Lituanie,2017-01-01T00:00:00,11.316181341904949,55.3356704206,23.8981221633
Lituanie,2016-01-01T00:00:00,12.38650172935137,55.3356704206,23.8981221633
Lituanie,2015-01-01T00:00:00,12.487690040283233,55.3356704206,23.8981221633
Lituanie,2014-01-01T00:00:00,14.594882419054914,55.3356704206,23.8981221633
Lituanie,2013-01-01T00:00:00,14.561603849932986,55.3356704206,23.8981221633
Lituanie,2012-01-01T00:00:00,12.043752521975398,55.3356704206,23.8981221633
Lituanie,2011-01-01T00:00:00,13.858339357145255,55.3356704206,23.8981221633
Lituanie,2010-01-01T00:00:00,13.926761696602675,55.3356704206,23.8981221633
Lituanie,2009-01-01T00:00:00,15.332313713992443,55.3356704206,23.8981221633
Lituanie,2008-01-01T00:00:00,15.347795184841637,55.3356704206,23.8981221633
Luxembourg,2022-01-01T00:00:00,46.518474972801314,49.770627962,6.08781362543
Luxembourg,2021-01-01T00:00:00,35.94022296991903,49.770627962,6.08781362543
Luxembourg,2020-01-01T00:00:00,32.11540944556078,49.770627962,6.08781362543
Luxembourg,2019-01-01T00:00:00,31.616094426505587,49.770627962,6.08781362543
Luxembourg,2018-01-01T00:00:00,29.94094540728306,49.770627962,6.08781362543
Luxembourg,2017-01-01T00:00:00,26.67935259293039,49.770627962,6.08781362543
Luxembourg,2016-01-01T00:00:00,32.686960804494866,49.770627962,6.08781362543
Luxembourg,2015-01-01T00:00:00,34.5637455283713,49.770627962,6.08781362543
Luxembourg,2014-01-01T00:00:00,49.36141090034969,49.770627962,6.08781362543
Luxembourg,2013-01-01T00:00:00,45.30959526805234,49.770627962,6.08781362543
Luxembourg,2012-01-01T00:00:00,38.224884867369944,49.770627962,6.08781362543
Luxembourg,2011-01-01T00:00:00,39.48778042637251,49.770627962,6.08781362543
Luxembourg,2010-01-01T00:00:00,31.275444088565195,49.770627962,6.08781362543
Luxembourg,2009-01-01T00:00:00,40.376745969271795,49.770627962,6.08781362543
Luxembourg,2008-01-01T00:00:00,36.99684989636581,49.770627962,6.08781362543
Macédoine du Nord,2022-01-01T00:00:00,0.5651219915964346,41.5996826693,21.697475751
Macédoine du Nord,2021-01-01T00:00:00,0.5471517148546594,41.5996826693,21.697475751
Macédoine du Nord,2020-01-01T00:00:00,0.5225816283546193,41.5996826693,21.697475751
Macédoine du Nord,2019-01-01T00:00:00,0.6387307953278545,41.5996826693,21.697475751
Macédoine du Nord,2018-01-01T00:00:00,0.0,41.5996826693,21.697475751
Macédoine du Nord,2017-01-01T00:00:00,0.6876100695433931,41.5996826693,21.697475751
Macédoine du Nord,2016-01-01T00:00:00,0.5942164503314192,41.5996826693,21.697475751
Macédoine du Nord,2015-01-01T00:00:00,0.5987128833084451,41.5996826693,21.697475751
Macédoine du Nord,2014-01-01T00:00:00,14.454253185936844,41.5996826693,21.697475751
