Country,Crime Type,UN_x,lat_x,lon_x,Year,Value,FIPS,ISO2,ISO3,UN_y,NAME,lat_y,lon_y
Bulgarie,Corruption,100.0,42.7613767152,25.2315070042,2015.0,6.7542857142857144,BU,BG,BGR,100.0,Bulgarie,42.7613767152,25.2315070042
Bulgarie,Enlèvement,100.0,42.7613767152,25.2315070042,2015.0,1.2326666666666666,BU,BG,BGR,100.0,Bulgarie,42.7613767152,25.2315070042
Bulgarie,Exploitation sexuelle,100.0,42.7613767152,25.2315070042,2015.0,0.8442857142857143,BU,BG,BGR,100.0,Bulgarie,42.7613767152,25.2315070042
Bulgarie,Fraude,100.0,42.7613767152,25.2315070042,2015.0,35.667142857142856,BU,BG,BGR,100.0,Bulgarie,42.7613767152,25.2315070042
Bulgarie,Homicide intentionnel,100.0,42.7613767152,25.2315070042,2015.0,1.534,BU,BG,BGR,100.0,Bulgarie,42.7613767152,25.2315070042
Bulgarie,Participation à un groupe criminel organisé,100.0,42.7613767152,25.2315070042,2015.0,1.1114285714285714,BU,BG,BGR,100.0,Bulgarie,42.7613767152,25.2315070042
Bulgarie,Pédopornographie,100.0,42.7613767152,25.2315070042,2015.0,0.3433333333333333,BU,BG,BGR,100.0,Bulgarie,42.7613767152,25.2315070042
Bulgarie,Tentative d'homicide volontaire,100.0,42.7613767152,25.2315070042,2015.0,0.6793333333333333,BU,BG,BGR,100.0,Bulgarie,42.7613767152,25.2315070042
Bulgarie,Viol,100.0,42.7613767152,25.2315070042,2015.0,2.1073333333333335,BU,BG,BGR,100.0,Bulgarie,42.7613767152,25.2315070042
Bulgarie,Violence sexuelle,100.0,42.7613767152,25.2315070042,2015.0,8.72,BU,BG,BGR,100.0,Bulgarie,42.7613767152,25.2315070042
Bulgarie,Vol,100.0,42.7613767152,25.2315070042,2015.0,533.1673333333333,BU,BG,BGR,100.0,Bulgarie,42.7613767152,25.2315070042
Bulgarie,Vol d'un véhicule motorisé ou de pièces de celui-ci,100.0,42.7613767152,25.2315070042,2015.0,40.73266666666667,BU,BG,BGR,100.0,Bulgarie,42.7613767152,25.2315070042
Bulgarie,Vol par effraction,100.0,42.7613767152,25.2315070042,2015.0,179.27066666666667,BU,BG,BGR,100.0,Bulgarie,42.7613767152,25.2315070042
Bulgarie,Vol par effraction de résidences privées,100.0,42.7613767152,25.2315070042,2015.0,82.39,BU,BG,BGR,100.0,Bulgarie,42.7613767152,25.2315070042
Bulgarie,Vol qualifié,100.0,42.7613767152,25.2315070042,2015.0,29.266000000000002,BU,BG,BGR,100.0,Bulgarie,42.7613767152,25.2315070042
Bulgarie,pots-de-vin,100.0,42.7613767152,25.2315070042,2015.0,1.82,BU,BG,BGR,100.0,Bulgarie,42.7613767152,25.2315070042
Chypre,Actes contre les systèmes informatiques,196.0,35.0458815895,33.2217623859,2015.0,10.56857142857143,CY,CY,CYP,196.0,Chypre,35.0458815895,33.2217623859
Chypre,Actes illicites impliquant des drogues ou des précurseurs contrôlés,196.0,35.0458815895,33.2217623859,2015.0,109.31733333333334,CY,CY,CYP,196.0,Chypre,35.0458815895,33.2217623859
Chypre,Agression sexuelle,196.0,35.0458815895,33.2217623859,2015.0,1.4866666666666668,CY,CY,CYP,196.0,Chypre,35.0458815895,33.2217623859
Chypre,Attaque grave,196.0,35.0458815895,33.2217623859,2015.0,18.580666666666666,CY,CY,CYP,196.0,Chypre,35.0458815895,33.2217623859
Chypre,Blanchiment d'argent,196.0,35.0458815895,33.2217623859,2015.0,,CY,CY,CYP,196.0,Chypre,35.0458815895,33.2217623859
Chypre,Corruption,196.0,35.0458815895,33.2217623859,2015.0,2.512857142857143,CY,CY,CYP,196.0,Chypre,35.0458815895,33.2217623859
Chypre,Enlèvement,196.0,35.0458815895,33.2217623859,2015.0,1.018,CY,CY,CYP,196.0,Chypre,35.0458815895,33.2217623859
Chypre,Exploitation sexuelle,196.0,35.0458815895,33.2217623859,2015.0,15.038571428571428,CY,CY,CYP,196.0,Chypre,35.0458815895,33.2217623859
Chypre,Fraude,196.0,35.0458815895,33.2217623859,2015.0,33.385714285714286,CY,CY,CYP,196.0,Chypre,35.0458815895,33.2217623859
Chypre,Homicide intentionnel,196.0,35.0458815895,33.2217623859,2015.0,1.3760000000000001,CY,CY,CYP,196.0,Chypre,35.0458815895,33.2217623859
Chypre,Participation à un groupe criminel organisé,196.0,35.0458815895,33.2217623859,2015.0,0.017142857142857144,CY,CY,CYP,196.0,Chypre,35.0458815895,33.2217623859
Chypre,Pédopornographie,196.0,35.0458815895,33.2217623859,2015.0,13.695,CY,CY,CYP,196.0,Chypre,35.0458815895,33.2217623859
Chypre,Tentative d'homicide volontaire,196.0,35.0458815895,33.2217623859,2015.0,1.4326666666666665,CY,CY,CYP,196.0,Chypre,35.0458815895,33.2217623859
Chypre,Viol,196.0,35.0458815895,33.2217623859,2015.0,3.5806666666666667,CY,CY,CYP,196.0,Chypre,35.0458815895,33.2217623859
Chypre,Violence sexuelle,196.0,35.0458815895,33.2217623859,2015.0,5.066,CY,CY,CYP,196.0,Chypre,35.0458815895,33.2217623859
Chypre,Vol,196.0,35.0458815895,33.2217623859,2015.0,151.77533333333335,CY,CY,CYP,196.0,Chypre,35.0458815895,33.2217623859
Chypre,Vol d'un véhicule motorisé ou de pièces de celui-ci,196.0,35.0458815895,33.2217623859,2015.0,169.038,CY,CY,CYP,196.0,Chypre,35.0458815895,33.2217623859
Chypre,Vol par effraction,196.0,35.0458815895,33.2217623859,2015.0,239.614,CY,CY,CYP,196.0,Chypre,35.0458815895,33.2217623859
